Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.9854918141887395,0.9251884455333376,,0.9851007623943101,0.4612255096435547
BaggingClassifier,0.9853587115666179,0.9244250733395244,,0.9849951968612547,1.0234806537628174
RandomForestClassifier,0.9863569812325302,0.9211854250543505,,0.9858327416083104,3.694939136505127
ExtraTreesClassifier,0.9866231864767736,0.9191828915211631,,0.9860309457237649,1.9517722129821777
DecisionTreeClassifier,0.9805004658591774,0.9173319854822958,,0.9803145541533632,0.18216586112976074
KNeighborsClassifier,0.9807001197923599,0.9087481444240175,,0.9801132552269578,0.5515010356903076
ExtraTreeClassifier,0.9741115399973379,0.8992255361027295,,0.973859034497962,0.0470426082611084
SVC,0.9685212298682284,0.8206468742918336,,0.965292301569806,9.864239931106567
QuadraticDiscriminantAnalysis,0.9526154665246905,0.8035306787490559,,0.9510792868530366,0.04903721809387207
GaussianNB,0.9407027818448024,0.7363863594533933,,0.9360882507358967,0.03403067588806152
AdaBoostClassifier,0.7141621189937442,0.7006859324480904,,0.7378129283319852,1.3282063007354736
NearestCentroid,0.8467323306269133,0.6747406522777376,,0.8595251343964885,0.040036678314208984
LogisticRegression,0.9225342739251964,0.6411060088829499,,0.9101705958901172,0.54449462890625
CalibratedClassifierCV,0.9216691068814056,0.6378869591784097,,0.9092605664997174,4.228485107421875
Perceptron,0.849194729136164,0.5901788358620016,,0.8547945195250152,0.10609602928161621
SGDClassifier,0.9093571143351524,0.581208140615917,,0.8805230631477007,0.15914416313171387
LinearSVC,0.9106881405563689,0.5660943089429842,,0.8863137346072938,1.1416165828704834
LinearDiscriminantAnalysis,0.9096898708904565,0.5645490602113434,,0.8865934096491911,0.3463134765625
PassiveAggressiveClassifier,0.9040330094502862,0.5588423921219576,,0.8877927158512035,0.11310315132141113
BernoulliNB,0.8832024490882471,0.5435859285838714,,0.8652035609920846,0.03803420066833496
RidgeClassifier,0.8985758019432983,0.49190638274249093,,0.8598448058673506,0.0580446720123291
RidgeClassifierCV,0.8985758019432983,0.49190638274249093,,0.8598448058673506,0.06804370880126953
DummyClassifier,0.6891388260348729,0.25,,0.5623129540673031,0.027024030685424805
